2013	1401	3889
303	1761	117
118	651	3507
1689	1193	1839
223	2178	3387
3114	168	2346
3745	1638	1995
1366	791	1079
346	895	1523
1974	527	2597
2151	1499	3416
4346	799	112
571	1336	2059
2746	711	2119
3460	11	4873
4773	797	1452
2670	2076	756
3219	1607	4689
2746	1319	4623
803	336	4548
2365	28	1551
2246	1745	4207
1343	2242	4853
1974	189	4074
2036	504	1176
3250	1718	4494
2400	1787	2221
4294	2117	640
3589	2039	1789
4999	712	3641
3463	667	1153
4477	936	1403
2438	1098	1547
2809	1933	29
970	1251	485
4639	1926	2776
162	1167	2170
1870	1499	2690
2746	736	1205
2170	1638	1697
2170	2132	1204
483	892	1288
3477	1454	2641
3854	846	4669
251	264	638
3293	1926	3830
339	966	4225
2447	1926	958
2746	1712	1263
3526	293	4755
130	1511	84
2746	697	1192
3027	393	2223
4242	261	2444
3854	2060	4230
2592	1499	1868
2324	1296	489
4853	222	4960
3377	1499	2521
1748	490	2896
118	1264	2354
2856	465	908
2343	1526	519
4773	1718	4250
2781	821	4206
4801	1499	562
65	2108	1076
4242	1165	1055
2592	1551	3652
3859	1499	2023
3351	422	3636
1974	1921	3573
4853	1706	3648
4853	13	4921
1801	308	2737
169	662	2017
4477	1757	275
4773	2144	1675
2497	1970	2594
304	676	1169
915	1639	1867
2592	2052	1724
4477	21	1910
1351	1643	757
1974	1572	4698
4278	1749	4383
2840	1984	2888
2249	2322	4853
562	2162	3892
4853	2242	3459
3520	352	1725
543	1620	3592
4494	188	4738
1032	1499	4063
3158	1394	2793
3745	2275	3246
4477	1921	3946
2423	1499	17
3526	1238	827
1818	357	1351
2253	71	4671
2992	1499	1234
4477	861	275
1870	2242	4853
3548	223	988
2020	2324	1351
2961	1539	3917
2080	2132	414
1336	880	303
2036	1499	413
1748	1572	1577
3284	2317	2506
4225	902	1534
1870	1499	2580
2380	803	2734
2592	2192	4475
2080	159	857
2871	1810	2375
3477	698	180
2793	2311	2561
1946	1081	169
1216	700	1870
4759	508	3711
3520	1638	3341
2080	1499	4112
1870	1199	3379
169	1747	4167
4416	1543	3021
3605	2021	2281
4150	1199	511
3440	344	4769
169	1591	1474
5012	19	1597
3520	1396	1882
4853	891	995
3459	1908	1678
169	502	3809
4211	1328	2276
2036	1774	2180
4074	189	1747
1078	2056	3982
1974	2199	5008
2467	2076	3520
