2582	1494	2715
395	474	1683
1005	2127	3139
2860	1757	1356
3090	1323	3072
4176	199	1566
3081	37	3334
456	1368	4553
470	409	3483
117	51	4247
3787	1339	1432
395	474	2407
3738	131	1333
1236	474	129
1169	887	3877
1032	759	3223
2609	2069	25
1974	461	2102
651	1211	269
3081	896	2918
599	108	4521
4396	981	3940
295	1782	3416
452	746	1901
3691	414	1847
3802	826	2209
3513	741	3400
4236	2127	2009
3081	1918	2364
3217	1128	104
2474	1402	1099
4313	461	2662
3081	1496	4309
2114	1138	2272
2862	474	274
1548	1351	3450
2028	1627	2332
2454	230	2561
295	1589	2245
517	1277	1642
452	1886	2851
2860	392	432
2277	241	2879
4364	1800	917
2676	474	4415
1308	1012	2024
3787	131	3322
2862	474	2268
1980	202	2817
2620	1968	1348
132	1527	4339
3081	2006	575
2394	202	226
2620	1731	972
2028	1968	3878
3274	446	2196
3644	1058	3989
412	104	3995
3266	1336	2500
3081	1698	1882
414	1365	3149
1005	269	3805
1548	1681	607
2372	1205	2030
1032	1569	2781
4396	31	3269
4623	1719	2352
2687	1017	1516
2277	240	2032
2860	982	1412
517	1400	138
414	802	3045
2028	1701	4466
2839	1537	2314
599	2070	1454
1005	1285	1597
1483	549	1771
414	114	2341
550	1265	728
4623	2108	1131
4016	1023	3708
2210	217	4018
4490	1312	4037
1825	1727	4528
1974	1392	1059
3295	131	855
117	643	2545
295	200	1297
1799	69	1549
1548	881	3514
2860	1760	3092
4396	1404	1022
4388	1001	4478
414	474	4425
412	484	3225
685	1164	2640
132	555	1135
1201	263	1149
343	164	3807
3353	1548	2036
2277	560	671
1236	1736	143
4176	247	759
3166	1372	3300
1917	810	386
1313	768	111
3081	285	1046
295	461	4009
1917	1132	366
3691	2064	3707
1344	1339	2324
4443	1480	4240
3475	728	2442
3738	1819	30
1005	299	1693
3081	1820	4430
2804	1377	4211
2235	474	331
4040	1126	262
4364	276	3955
1373	474	4134
3081	403	4169
330	803	4024
4016	1022	1038
1485	1968	3530
1005	246	1435
550	474	4145
734	1439	3802
3688	1400	1534
1032	1352	2700
2997	673	2098
2126	461	3728
2804	1314	202
2860	1541	4542
627	275	412
4364	835	2212
831	474	1831
833	276	2675
2028	1266	3070
2804	1272	3771
3272	131	4103
3081	514	4274
4016	1337	3891
4364	165	3974
517	2137	4232
2277	1467	1932
1236	512	1718
4287	2132	1552
2758	2162	2819
4033	474	3796
1162	1457	2601
1548	1968	2731
550	348	1794
2028	339	3914
992	30	2419
2028	548	3119
2221	56	1269
4291	98	45
4016	2006	4289
1005	1582	224
3081	1191	952
3548	393	2468
803	1849	4510
2028	1935	3345
4287	2127	3074
4040	1257	4551
4467	110	3718
2804	1272	37
2860	1968	2379
3081	1228	2355
604	131	2063
4599	1125	3004
4396	576	4331
2758	1969	1468
3042	780	2276
2073	1541	2082
1263	474	2812
3751	123	620
2277	494	4290
1170	504	4185
1337	961	588
2277	1968	4036
1250	878	1639
3896	1534	317
1938	2040	548
3132	874	3933
4556	1034	773
2860	1862	3640
2911	474	2744
3751	1922	3386
2804	129	1587
1096	880	562
2277	1996	2047
1679	1659	1869
599	689	4464
1250	1968	2274
414	474	3149
732	2127	235
2114	649	1034
2028	1968	3580
815	845	1548
596	2127	4392
2860	793	4589
470	1557	3845
3930	455	501
2634	461	1171
2028	285	1199
1332	1144	2788
2028	2113	3910
210	474	3958
1617	461	118
2028	1985	2805
1974	626	1130
2413	141	3394
470	685	3582
343	325	29
2860	797	4598
3751	2140	1178
4016	1392	2295
2309	474	1078
1917	905	3085
3976	1998	1495
2114	575	4266
2474	322	1992
2860	461	1887
4388	738	101
1548	2176	296
2068	1021	1448
452	2070	1631
3107	1659	3026
3691	352	1572
1337	168	1521
4332	342	1005
4408	518	2491
2028	168	2135
1008	474	1837
2056	1008	100
989	1457	626
1025	829	3625
989	11	2204
3596	2005	2943
373	1707	215
3323	312	563
4418	128	1120
3081	2072	1524
341	871	700
414	474	1584
412	484	269
1799	131	3273
2860	1970	1323
1518	246	1476
452	1698	3147
3895	1763	2994
452	402	2757
989	477	2576
4396	1033	584
2277	1735	1710
4016	474	4227
4111	2048	1551
1170	474	863
137	955	3018
2243	848	3464
4501	474	1106
1990	1719	2033
2609	2104	2740
1202	1407	3558
3050	603	1443
1548	1605	1993
1373	1028	1095
3802	1071	3554
2343	131	1359
3081	1416	2003
2982	933	3341
